timestamp,open,high,low,close,volume,,,,,,,
11/30/2021 9:00,159.24,159.58,158.56,159.1,100692,,,,,,,
11/30/2021 10:00,159.1,159.19,158.5,159.17,52447,,,,,,,
11/30/2021 11:00,159.23,159.39,158.96,158.96,74096,,,,,,,
11/30/2021 12:00,159,159.39,158.97,159.11,205995,,,,,,,
11/30/2021 13:00,159.1999,159.84,158.75,159.59,588315,,,,,,,
11/30/2021 14:00,159.56,162.3,159.33,162.09,13478680,,,,,,,
11/30/2021 15:00,162.1,164.58,162.0089,162.15,31397970,,,,,,,
11/30/2021 16:00,162.17,163.44,161.84,162.53,22186119,,,,,,,
11/30/2021 17:00,162.53,164.26,162.035,163.575,16251878,,,,,,,
11/30/2021 18:00,163.59,164.37,163.13,164.34,11842725,,,,,,,
11/30/2021 19:00,164.34,164.92,163.93,164.235,14728514,,,,,,,
11/30/2021 20:00,164.22,165.52,163.05,165.43,27623727,,,,,,,
11/30/2021 21:00,165.3,166.4,165.26,165.9,13582262,,,,,,,
11/30/2021 22:00,165.88,166.64,165.3,166.42,433773,,,,,,,
11/30/2021 23:00,166.48,166.64,166.23,166.41,152968,,,,,,,
12/1/2021 0:00,166.41,166.64,165.9,166.35,191754,,,,,,,
12/1/2021 9:00,167.2,168,166.95,167.95,113620,,,,,,,
12/1/2021 10:00,167.91,167.95,167.75,167.81,45517,,,,,,,
12/1/2021 11:00,167.8,168.09,167.65,168.09,75146,,,,,,,
12/1/2021 12:00,168.07,168.65,167.9,168.5,442556,,,,,,,
12/1/2021 13:00,168.29,168.61,164.887,167.6,3177058,,,,,,,
12/1/2021 14:00,167.6,168.29,166.04,168.27,20380437,,,,,,,
12/1/2021 15:00,168.27,169.5,167.1,169.37,23563281,,,,,,,
12/1/2021 16:00,169.37,170.2,169.0799,169.2613,20868444,,,,,,,
12/1/2021 17:00,169.27,170.3,169.06,169.12,13631612,,,,,,,
12/1/2021 18:00,169.13,169.67,167.38,168.3836,16986768,,,,,,,
12/1/2021 19:00,168.38,168.39,167.01,167.18,12829972,,,,,,,
12/1/2021 20:00,167.17,167.4488,164.53,164.67,26846321,,,,,,,
12/1/2021 21:00,164.77,165.28,164.02,164.6,4182332,,,,,,,
12/1/2021 22:00,164.54,165.6,164.44,165.55,194635,,,,,,,
12/1/2021 23:00,165.55,165.85,164.91,165.76,266238,,,,,,,
12/2/2021 0:00,165.75,166.3,165.5,166,169707,,,,,,,
12/2/2021 9:00,163.2,163.45,161.61,161.71,335969,,,,,,,
12/2/2021 10:00,161.71,162.26,161,162.1,216412,,,,,,,
12/2/2021 11:00,162.06,162.48,161.22,161.51,246683,,,,,,,
12/2/2021 12:00,161.54,161.57,159.4,159.96,1059426,,,,,,,
12/2/2021 13:00,159.7801,164.359,158.5,159.73,2148638,,,,,,,
12/2/2021 14:00,159.72,161.63,157.8,161.369,27154389,,,,,,,
12/2/2021 15:00,161.37,161.37,159.03,160.4901,21599790,,,,,,,
12/2/2021 16:00,160.49,162.48,160.21,162.375,18242373,,,,,,,
12/2/2021 17:00,162.37,163.7,162.0801,163.09,15599097,,,,,,,
12/2/2021 18:00,163.11,163.54,162.54,163.4198,11024726,,,,,,,
12/2/2021 19:00,163.42,163.98,162.93,163.42,11965031,,,,,,,
12/2/2021 20:00,163.42,164.2,163.13,163.79,15810333,,,,,,,
12/2/2021 21:00,163.76,164.18,163.44,163.85,2864787,,,,,,,
12/2/2021 22:00,163.8799,164.1,163.76,163.95,60561,,,,,,,
12/2/2021 23:00,163.86,163.92,162.67,162.77,116692,,,,,,,
12/3/2021 0:00,162.68,162.98,162.12,162.28,157887,,,,,,,
12/3/2021 9:00,162.53,163.06,162.51,162.73,25938,,,,,,,
12/3/2021 10:00,162.79,162.94,162,162.6,28614,,,,,,,
12/3/2021 11:00,162.75,163.18,162.75,163.15,26865,,,,,,,
12/3/2021 12:00,163.17,163.79,163.06,163.76,181684,,,,,,,
12/3/2021 13:00,163.17,165.4,163.12,163.9,1394035,,,,,,,
12/3/2021 14:00,163.86,164.96,162.77,163.3,13838211,,,,,,,
12/3/2021 15:00,163.32,163.88,161.8,162.803,19254439,,,,,,,
12/3/2021 16:00,162.81,163.27,160.795,161.025,16557609,,,,,,,
12/3/2021 17:00,161.01,162.41,160.51,161.59,12085369,,,,,,,
12/3/2021 18:00,161.57,161.58,159.77,159.92,11827355,,,,,,,
12/3/2021 19:00,159.92,160.72,159.75,160.075,10273707,,,,,,,
12/3/2021 20:00,160.07,162.18,159.72,161.84,17950153,,,,,,,
12/3/2021 21:00,161.84,163.95,161.2,161.3,4233070,,,,,,,
12/3/2021 22:00,161.3,161.84,161.2,161.43,139722,,,,,,,
12/3/2021 23:00,161.55,161.56,161.37,161.37,42889,,,,,,,
12/4/2021 0:00,161.38,161.56,161.2,161.25,51700,,,,,,,
12/6/2021 9:00,163.29,164.25,162.8,163.2,184575,,,,,,,
12/6/2021 10:00,163.18,163.8,161.84,162.12,113150,,,,,,,
12/6/2021 11:00,162.09,163.2,162.09,163.2,67112,,,,,,,
12/6/2021 12:00,163.13,163.65,162.02,163.51,433954,,,,,,,
12/6/2021 13:00,162.3102,164.08,161.436,163.95,1056754,,,,,,,
