Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
1/12/2000,0.848214,0.852679,0.772321,0.77846,976068800,0.0681,0.7609,0.8256,0.753,0.6813,-0.0103,-0.0124,0.0021
1/13/2000,0.84361,0.881696,0.825893,0.863839,1032684800,0.0875,0.7566,0.8256,0.753,0.6811,-0.0068,-0.0111,0.0043
1/14/2000,0.892857,0.912946,0.887277,0.896763,390376000,0.0416,0.7566,0.8263,0.754,0.682,-0.0001,-0.0095,0.0094
1/18/2000,0.901786,0.946429,0.896763,0.928013,459177600,0.0421,0.7573,0.8292,0.755,0.6821,0.0021,-0.0079,0.01
1/19/2000,0.94308,0.970982,0.922991,0.951451,597643200,0.0407,0.7613,0.8353,0.758,0.6824,0.005,-0.0059,0.0109
1/20/2000,1.03125,1.084821,1.013393,1.013393,1831132800,0.1131,0.7721,0.8509,0.763,0.6752,0.0078,-0.0038,0.0117
1/21/2000,1.020089,1.020089,0.983817,0.993862,495924800,0.0307,0.7809,0.8617,0.767,0.673,0.007,-0.0018,0.0088
1/24/2000,0.968192,1.006696,0.938616,0.948661,440876800,0.0577,0.7847,0.8639,0.768,0.6729,0.0055,0,0.0055
1/25/2000,0.9375,1.010045,0.914063,1.002232,497145600,0.0814,0.7856,0.8747,0.773,0.6719,0.0028,0.0015,0.0013
1/26/2000,0.982143,1.019531,0.979911,0.983817,367158400,0.0336,0.7901,0.8815,0.777,0.6742,0.0087,0.0036,0.0051
1/27/2000,0.97154,1.008929,0.955357,0.982143,340144000,0.0454,0.7933,0.8874,0.781,0.6753,0.0103,0.0055,0.0048
1/28/2000,0.96596,0.989955,0.898438,0.907366,423348800,0.0776,0.7957,0.8875,0.781,0.6762,0.0151,0.0071,0.0079
1/31/2000,0.901786,0.927455,0.84375,0.926339,701680000,0.0709,0.7927,0.8879,0.782,0.6765,0.0194,0.0091,0.0103
2/1/2000,0.928571,0.9375,0.892857,0.895089,318035200,0.0378,0.7922,0.8796,0.777,0.676,0.0248,0.0113,0.0135
2/2/2000,0.899554,0.91183,0.866071,0.882254,464195200,0.0387,0.7893,0.879,0.776,0.6738,0.0263,0.0133,0.013
2/3/2000,0.895647,0.930804,0.895089,0.922433,475193600,0.0412,0.7865,0.8787,0.776,0.6736,0.0255,0.0154,0.0101
2/4/2000,0.928013,0.982143,0.925223,0.964286,425320000,0.0506,0.7865,0.8816,0.781,0.6805,0.0224,0.0172,0.0051
2/7/2000,0.964286,1.020089,0.945871,1.018415,441067200,0.0629,0.7894,0.8923,0.786,0.6809,0.016,0.0187,-0.0027
2/8/2000,1.017857,1.03683,0.993304,1.02567,408643200,0.0369,0.7964,0.9023,0.793,0.6838,0.012,0.0191,-0.0071
2/9/2000,1.018973,1.045759,1.003906,1.00558,299364800,0.0354,0.8028,0.9042,0.8,0.6969,0.0129,0.0194,-0.0065
2/10/2000,1.007813,1.016741,0.982143,1.013393,302982400,0.0293,0.8077,0.8946,0.81,0.7264,0.0165,0.0195,-0.003
2/11/2000,1.014509,1.018973,0.966518,0.970982,212251200,0.0444,0.8127,0.8912,0.815,0.7389,0.0159,0.0191,-0.0032
2/14/2000,0.976004,1.034598,0.969866,1.03404,367539200,0.0549,0.814,0.8971,0.82,0.7446,0.0153,0.0181,-0.0028
2/15/2000,1.029018,1.070871,1.02846,1.0625,485744000,0.0359,0.8196,0.9085,0.826,0.7446,0.0143,0.0168,-0.0025
2/16/2000,1.051339,1.054688,1.001116,1.018973,378246400,0.0521,0.8264,0.9124,0.829,0.7465,0.0203,0.0162,0.0041
2/17/2000,1.02846,1.03125,1.010045,1.02567,289497600,0.018,0.8307,0.9138,0.829,0.7461,0.0217,0.0161,0.0056
2/18/2000,1.023438,1.030134,0.989955,0.993304,233441600,0.0341,0.8342,0.9137,0.829,0.7461,0.0248,0.0171,0.0077
2/22/2000,0.983259,1.044085,0.952567,1.016183,422296000,0.0776,0.8341,0.9168,0.832,0.7488,0.0264,0.0187,0.0077
2/23/2000,1.011021,1.0625,0.991071,1.037946,473099200,0.0605,0.8363,0.9205,0.834,0.7481,0.0284,0.0204,0.008
2/24/2000,1.047433,1.063616,0.997768,1.028599,376432000,0.0558,0.8412,0.9239,0.836,0.7485,0.0295,0.0219,0.0077
2/25/2000,1.025112,1.044643,0.983259,0.985491,249144000,0.0521,0.8438,0.924,0.836,0.7486,0.0274,0.0231,0.0042
2/28/2000,0.983259,1.026786,0.967634,1.011161,328328000,0.0502,0.8428,0.9232,0.84,0.7583,0.0264,0.0244,0.0021
2/29/2000,1.013951,1.046875,1.005022,1.023438,368961600,0.0355,0.8444,0.9239,0.844,0.7658,0.0271,0.0258,0.0013
3/1/2000,1.058594,1.179129,1.058036,1.163504,1077003200,0.132,0.8494,0.947,0.856,0.7654,0.0272,0.0265,0.0007
3/2/2000,1.133929,1.142299,1.077567,1.089286,311259200,0.0728,0.8601,0.9455,0.865,0.7845,0.032,0.0277,0.0043
3/3/2000,1.114955,1.14495,1.071429,1.142857,323366400,0.0623,0.8682,0.9574,0.874,0.7912,0.0337,0.0287,0.005
3/6/2000,1.125,1.152902,1.116071,1.12221,210560000,0.0313,0.8763,0.9662,0.881,0.7958,0.0339,0.0295,0.0044
3/7/2000,1.128906,1.137835,1.081473,1.097098,273011200,0.0478,0.884,0.9717,0.884,0.797,0.0357,0.0303,0.0054
3/8/2000,1.097098,1.106585,1.058594,1.089286,271230400,0.0407,0.8883,0.9757,0.887,0.7984,0.0345,0.0309,0.0037
3/9/2000,1.079241,1.116071,1.055804,1.091518,276718400,0.0511,0.8909,0.9793,0.89,0.8021,0.0364,0.0319,0.0045
3/10/2000,1.086496,1.142299,1.080357,1.122768,248606400,0.0525,0.8937,0.9865,0.895,0.8042,0.0356,0.0329,0.0027
3/13/2000,1.090402,1.129464,1.066964,1.083147,303956800,0.053,0.8966,0.9854,0.9,0.8148,0.0323,0.0335,-0.0012
3/14/2000,1.08231,1.109375,1.017857,1.020089,428579200,0.0776,0.8986,0.9856,0.899,0.8134,0.0313,0.0339,-0.0026
3/15/2000,1.032366,1.073661,1.018973,1.037946,443609600,0.0464,0.8964,0.985,0.898,0.812,0.0326,0.034,-0.0014
3/16/2000,1.047433,1.089286,1.022321,1.085379,378100800,0.0568,0.8955,0.9867,0.901,0.8158,0.034,0.034,-0.0001
3/17/2000,1.072545,1.116071,1.06808,1.116071,305043200,0.0407,0.8968,0.9914,0.905,0.8189,0.0332,0.034,-0.0007
3/20/2000,1.102679,1.127232,1.092634,1.098214,204489600,0.0294,0.9004,0.9914,0.909,0.8277,0.0279,0.0331,-0.0052
3/21/2000,1.094308,1.220982,1.085938,1.204799,524328000,0.1145,0.903,1.0096,0.917,0.8256,0.0239,0.0319,-0.0081
3/22/2000,1.185547,1.289063,1.174665,1.287388,567996800,0.097,0.9127,1.0454,0.928,0.8108,0.0213,0.0302,-0.0089
3/23/2000,1.267857,1.342634,1.25,1.261719,562564800,0.0786,0.9281,1.0674,0.938,0.8087,0.0233,0.0289,-0.0055
3/24/2000,1.271763,1.285156,1.209821,1.238281,446913600,0.0639,0.9424,1.0778,0.948,0.8197,0.0285,0.0285,0
3/27/2000,1.228795,1.292411,1.222098,1.246094,279182400,0.0596,0.9518,1.0886,0.958,0.8287,0.0325,0.0286,0.0039
3/28/2000,1.225446,1.267857,1.22433,1.242188,202966400,0.0369,0.9601,1.097,0.968,0.8389,0.0358,0.0289,0.0068
3/29/2000,1.24442,1.244978,1.194894,1.213728,239836800,0.0425,0.9691,1.1016,0.97,0.8385,0.0381,0.0294,0.0087
3/30/2000,1.192522,1.229353,1.119978,1.122768,414400000,0.0927,0.9731,1.1016,0.971,0.8414,0.04,0.0302,0.0098
3/31/2000,1.137835,1.225446,1.125,1.212612,404633600,0.087,0.9723,1.1068,0.974,0.8421,0.0445,0.032,0.0125
4/3/2000,1.209821,1.245536,1.155692,1.19029,328563200,0.0761,0.9773,1.1101,0.977,0.8446,0.0499,0.0349,0.0151
4/4/2000,1.184152,1.1875,1.042411,1.136719,660329600,0.1253,0.9798,1.1101,0.979,0.8479,0.0513,0.0382,0.0131
4/5/2000,1.129185,1.186384,1.107143,1.164063,457665600,0.0672,0.9777,1.1108,0.982,0.8536,0.0494,0.0411,0.0083
4/6/2000,1.166295,1.200893,1.100446,1.117746,259627200,0.0851,0.9787,1.1103,0.983,0.8563,0.051,0.0436,0.0074
4/7/2000,1.136161,1.177455,1.120536,1.176339,242435200,0.0506,0.9772,1.1119,0.985,0.8593,0.0474,0.0453,0.0021
4/10/2000,1.175781,1.185268,1.113839,1.116071,212262400,0.0605,0.9791,1.1108,0.987,0.8631,0.0389,0.0456,-0.0067
4/11/2000,1.102679,1.114955,1.054129,1.066406,541822400,0.0525,0.9748,1.106,0.988,0.8718,0.0277,0.0445,-0.0167
4/12/2000,1.0625,1.0625,0.936384,0.975446,941136000,0.1103,0.9678,1.115,0.986,0.8576,0.0181,0.042,-0.0239
4/13/2000,0.995536,1.071429,0.96875,1.016183,529827200,0.087,0.956,1.1204,0.983,0.8463,0.0052,0.0377,-0.0325
4/14/2000,0.976004,1.053571,0.973214,0.998884,667620800,0.0681,0.9437,1.1271,0.978,0.8296,-0.0104,0.031,-0.0414
4/17/2000,0.977679,1.106585,0.973772,1.106027,409561600,0.1126,0.9327,1.1271,0.978,0.8303,-0.022,0.0228,-0.0448
4/18/2000,1.102679,1.132813,1.065848,1.132813,390924800,0.0568,0.9329,1.1229,0.975,0.8284,-0.0249,0.0146,-0.0395
4/19/2000,1.126674,1.162946,1.069196,1.081473,520150400,0.0795,0.935,1.1062,0.966,0.8276,-0.0322,0.0053,-0.0375
4/20/2000,1.104353,1.113839,1.045201,1.061384,722120000,0.0582,0.9351,1.0923,0.958,0.8246,-0.0402,-0.0044,-0.0358
4/24/2000,1.026786,1.075893,1.024554,1.075893,443620800,0.0435,0.929,1.08,0.951,0.8231,-0.0468,-0.0139,-0.0328
4/25/2000,1.090402,1.149554,1.089844,1.145647,391641600,0.0624,0.9285,1.067,0.947,0.8276,-0.0527,-0.0229,-0.0298
4/26/2000,1.13058,1.142857,1.071429,1.083147,366912000,0.0629,0.9313,1.0505,0.94,0.8306,-0.054,-0.0309,-0.0231
4/27/2000,1.046317,1.133929,1.040876,1.131696,326603200,0.0789,0.9271,1.0398,0.937,0.8344,-0.0616,-0.0383,-0.0233
4/28/2000,1.135045,1.138393,1.083147,1.107701,249580800,0.0468,0.9304,1.0389,0.936,0.834,-0.0577,-0.0436,-0.0141
5/1/2000,1.114955,1.117188,1.08817,1.109933,226195200,0.0246,0.9318,1.0257,0.932,0.8385,-0.049,-0.0466,-0.0024
5/2/2000,1.100446,1.127232,1.049107,1.052455,236432000,0.0662,0.9319,1.0144,0.926,0.8381,-0.036,-0.0478,0.0118
5/3/2000,1.061942,1.082589,0.996652,1.027344,489798400,0.0729,0.9289,1.0112,0.921,0.8321,-0.0245,-0.0469,0.0225
5/4/2000,1.027902,1.029018,0.987165,0.988281,399515200,0.0355,0.9234,1.0056,0.914,0.8227,-0.0145,-0.0441,0.0296
5/5/2000,0.989397,1.024554,0.98856,1.010045,284076800,0.0307,0.9153,1.003,0.909,0.8162,-0.0142,-0.0405,0.0263
5/8/2000,1.000837,1.015067,0.982143,0.983259,184900800,0.0279,0.9089,0.9914,0.901,0.8115,-0.0168,-0.0365,0.0197
5/9/2000,0.984933,0.993304,0.936384,0.941406,327140800,0.0483,0.9019,0.9921,0.894,0.7959,-0.0203,-0.0327,0.0124
5/10/2000,0.929129,0.9375,0.881696,0.886719,535091200,0.0506,0.891,1.0022,0.886,0.7705,-0.018,-0.0279,0.0099
5/11/2000,0.905134,0.930804,0.883929,0.917969,499744000,0.0397,0.8792,1.0066,0.884,0.7613,-0.022,-0.0239,0.0019
5/12/2000,0.946429,0.986607,0.935407,0.960938,306913600,0.0582,0.8718,1.0076,0.881,0.7556,-0.0291,-0.0217,-0.0074
5/15/2000,0.964844,0.964844,0.893973,0.901786,678932800,0.0601,0.8667,1.0128,0.877,0.7422,-0.0283,-0.0208,-0.0074
5/16/2000,0.933175,0.973772,0.917411,0.943638,440451200,0.061,0.8595,1.007,0.87,0.7342,-0.0359,-0.0221,-0.0138
5/17/2000,0.925223,0.925781,0.896205,0.905134,398092800,0.0403,0.8523,0.998,0.861,0.7239,-0.0411,-0.0251,-0.016
