timestamp,open,high,low,close,volume,vwap,transactions,%K,RSI,MACD,%R,PROC
11/30/2021 22:00,165.88,166.64,165.3,166.42,433773,166.19,4360,97.2972973,96.96687193,-0.288784195,-2.702702703,0.017392633
11/30/2021 23:00,166.48,166.64,166.23,166.41,152968,166.4819,1501,97.17444717,96.78825983,-0.274588066,-2.825552826,0.012595838
12/1/2021 0:00,166.41,166.64,165.9,166.35,191754,166.2307,1653,96.32446134,95.64982646,-0.241130122,-3.675538657,0.012877888
12/1/2021 9:00,167.2,168,166.95,167.95,113620,167.836,2838,99.45945946,96.7482229,-0.279188943,-0.540540541,0.015233029
12/1/2021 10:00,167.91,167.95,167.75,167.81,45517,167.8298,925,97.94594595,94.4998093,-0.272354159,-2.054054054,0.01151296
12/1/2021 11:00,167.8,168.09,167.65,168.09,75146,167.8403,1637,100,94.76199775,-0.259405933,0,0.010034852
12/1/2021 12:00,168.07,168.65,167.9,168.5,442556,168.3527,6087,97.79735683,95.12821159,-0.24996304,-2.202643172,0.012559341
12/1/2021 13:00,168.29,168.61,164.887,167.6,3177058,166.2541,12217,84.5814978,81.63570736,-0.173892552,-15.4185022,0.007514277
12/1/2021 14:00,167.6,168.29,166.04,168.27,20380437,167.2256,174470,94.25547997,83.51071108,-0.143904436,-5.74452003,0.001905329
12/1/2021 15:00,168.27,169.5,167.1,169.37,23563281,168.3464,188804,97.98449612,86.03220708,-0.167559685,-2.015503876,0.009296228
12/1/2021 16:00,169.37,170.2,169.0799,169.2613,20868444,169.7004,171006,86.87132867,84.65459035,-0.157205592,-13.12867133,0.006968291
12/1/2021 17:00,169.27,170.3,169.06,169.12,13631612,169.7494,113136,83.72413793,82.79855014,-0.124116321,-16.27586207,0.003679525
12/1/2021 18:00,169.13,169.67,167.38,168.3836,16986768,168.7113,150404,64.59634214,73.726289,-0.044931903,-35.40365786,0.004675418
12/1/2021 19:00,168.38,168.39,167.01,167.18,12829972,167.6541,120253,42.36098282,61.80623593,0.085682727,-57.63901718,-0.006477685
12/1/2021 20:00,167.17,167.4488,164.53,164.67,26846321,165.7973,234809,2.426343154,45.34224664,0.316506141,-97.57365685,-0.027749897
12/1/2021 21:00,164.77,165.28,164.02,164.6,4182332,164.7624,7760,9.23566879,44.98236962,0.457397941,-90.76433121,-0.027539077
12/1/2021 22:00,164.54,165.6,164.44,165.55,194635,164.9416,2386,24.36305732,50.70108741,0.474478594,-75.63694268,-0.021109272
12/1/2021 23:00,165.55,165.85,164.91,165.76,266238,165.5592,2279,27.70700637,51.89150391,0.455181469,-72.29299363,-0.01558109
12/2/2021 0:00,165.75,166.3,165.5,166,169707,165.7682,1384,31.52866242,53.27998882,0.411301387,-68.47133758,-0.007058261
12/2/2021 9:00,163.2,163.45,161.61,161.71,335969,162.6989,5396,1.150747986,34.25078414,0.621673584,-98.84925201,-0.017975345
12/2/2021 10:00,161.71,162.26,161,162.1,216412,161.548,3194,11.82795699,36.4721133,0.701174702,-88.17204301,-0.015188335
12/2/2021 11:00,162.06,162.48,161.22,161.51,246683,161.6781,3360,5.483870968,34.56934636,0.751606441,-94.51612903,-0.024403503
12/2/2021 12:00,161.54,161.57,159.4,159.96,1059426,160.2164,14867,5.137614679,30.123143,0.837413856,-94.86238532,-0.034990347
12/2/2021 13:00,159.7801,164.359,158.5,159.73,2148638,159.694,27641,10.42372881,29.51648543,0.859599852,-89.57627119,-0.037771084
12/2/2021 14:00,159.72,161.63,157.8,161.369,27154389,160.0177,248946,28.552,38.95171752,0.72552132,-71.448,-0.002108713
12/2/2021 15:00,161.37,161.37,159.03,160.4901,21599790,159.9688,219840,22.66301601,36.15661349,0.651992601,-77.33698399,-0.009931524
12/2/2021 16:00,160.49,162.48,160.21,162.375,18242373,161.4687,156726,43.20113314,45.23319485,0.45005035,-56.79886686,0.005355706
12/2/2021 17:00,162.37,163.7,162.0801,163.09,15599097,162.9893,122062,54.82547052,48.23933123,0.248650988,-45.17452948,0.019567392
12/2/2021 18:00,163.11,163.54,162.54,163.4198,11024726,163.0129,102606,66.11529412,49.61317565,0.081170207,-33.88470588,0.023100232
12/2/2021 19:00,163.42,163.98,162.93,163.42,11965031,163.5688,102904,66.11764706,49.61404904,-0.036180935,-33.88235294,0.01271
12/2/2021 20:00,163.42,164.2,163.13,163.79,15810333,163.6438,147959,70.47058824,51.29600707,-0.138744612,-29.52941176,0.020561393
12/2/2021 21:00,163.76,164.18,163.44,163.85,2864787,163.7672,3466,71.17647059,51.57828703,-0.207183864,-28.82352941,0.009083911
12/2/2021 22:00,163.8799,164.1,163.76,163.95,60561,163.9087,1101,93.76429334,52.07682075,-0.252670217,-6.235706663,0.005273162
12/2/2021 23:00,163.86,163.92,162.67,162.77,116692,163.3057,1090,75.773746,46.05168782,-0.201169819,-24.226254,-0.003976262
12/3/2021 0:00,162.68,162.98,162.12,162.28,157887,162.436,1147,68.30309498,43.78621761,-0.13403225,-31.69690502,-0.00697589
12/3/2021 9:00,162.53,163.06,162.51,162.73,25938,162.7946,703,75.16389694,46.39432054,-0.118969321,-24.83610306,-0.006471702
12/3/2021 10:00,162.79,162.94,162,162.6,28614,162.4964,561,73.18188748,45.7341771,-0.100814705,-26.81811252,-0.007628929
12/3/2021 11:00,162.75,163.18,162.75,163.15,26865,162.9655,352,83.59375,49.03805156,-0.124033548,-16.40625,-0.004879536
12/3/2021 12:00,163.17,163.79,163.06,163.76,181684,163.4621,2884,91.4893617,52.4927405,-0.175485804,-8.510638298,0.006082202
12/3/2021 13:00,163.17,165.4,163.12,163.9,1394035,164.0428,8714,71.0982659,53.27561014,-0.212054233,-28.9017341,0.009982746
12/3/2021 14:00,163.86,164.96,162.77,163.3,13838211,164.0108,122883,38.23529412,49.51004077,-0.190365663,-61.76470588,0.003502735
12/3/2021 15:00,163.32,163.88,161.8,162.803,19254439,162.8734,173799,27.86111111,46.57353254,-0.139317711,-72.13888889,0.001248462
12/3/2021 16:00,162.81,163.27,160.795,161.025,16557609,161.9876,149625,4.994571118,37.91070205,0.008530197,-95.00542888,-0.013024824
12/3/2021 17:00,161.01,162.41,160.51,161.59,12085369,161.307,107271,22.08588957,41.62638461,0.061572125,-77.91411043,-0.013251099
